parent_asin,title,categories,details,average_rating,rating_number,price,bought_together
B00005FQ81,FENCE,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""April 5, 2015"", ""Number of discs"": ""1""}",5.0,3,40.52,
B0000544G7,Schubert: Piano Sonatas,[],"{""Language"": ""English"", ""Product Dimensions"": ""5.62 x 0.39 x 4.98 inches; 4 Ounces"", ""Manufacturer"": ""Philips"", ""Item model number"": ""D575"", ""SPARS Code"": ""DDD"", ""Date First Available"": ""January 10, 2007"", ""Label"": ""Philips"", ""Number of discs"": ""2""}",4.5,19,38.63,
B0000041AH,Late Piano Music,[],"{""Language"": ""English"", ""Product Dimensions"": ""5.6 x 0.4 x 4.9 inches; 4 Ounces"", ""Manufacturer"": ""Philips/Special Imports (Ger)"", ""Item model number"": ""028944258929"", ""Original Release Date"": ""1995"", ""Date First Available"": ""January 20, 2007"", ""Label"": ""Philips/Special Imports (Ger)"", ""Country of Origin"": ""USA"", ""Number of discs"": ""2""}",4.8,16,17.98,
B00MJ6ET0A,"Vivaldi: Concerti, Op. 8, No. 1-6: Die Vier Jahreszeiten (Four Seasons), La Tempesta di Mare, Il Piacere",[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""August 8, 2014""}",5.0,1,6.0,
B0009WC3JK,"Glazunov - Complete Songs and Romances - Evtodieva, Shkirtil",[],"{""Manufacturer"": ""Northern Flowers"", ""Date First Available"": ""June 7, 2005"", ""Label"": ""Northern Flowers"", ""Number of discs"": ""1""}",5.0,1,14.98,
B0000069D1,André Rieu In Concert,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Language"": ""English"", ""Product Dimensions"": ""5.6 x 0.4 x 4.9 inches; 3.04 Ounces"", ""Manufacturer"": ""Philips"", ""Item model number"": ""731453426627"", ""Original Release Date"": ""1998"", ""SPARS Code"": ""DDD"", ""Date First Available"": ""December 24, 2005"", ""Label"": ""Philips"", ""Number of discs"": ""1""}",4.6,62,2.01,
B000027GRK,Coleridge-Taylor: Hiawatha - Excerpt / Othello Suite Christmas Overture / Suite de Concert Forest of Wild Thyme - Incidental Music,[],"{""Package Dimensions"": ""5.51 x 4.88 x 0.39 inches; 4.16 Ounces"", ""Manufacturer"": ""Pearl"", ""Date First Available"": ""June 18, 2014"", ""Label"": ""Pearl"", ""Number of discs"": ""1""}",5.0,2,31.95,
B00CKEO2I0,paco doble LP,[],"{""Date First Available"": ""August 5, 2014""}",4.8,3,6.0,
B073LP9GY4,Where His Light Was,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""5.51 x 4.92 x 0.47 inches; 4.09 Ounces"", ""Manufacturer"": ""0"", ""Date First Available"": ""August 21, 2017"", ""Label"": ""0"", ""Number of discs"": ""1""}",4.9,45,19.37,
B071SGHVLS,Télé 80 Creamy,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Manufacturer"": ""TILT"", ""Date First Available"": ""July 3, 2017"", ""Label"": ""TILT"", ""Number of discs"": ""1""}",4.8,18,,
B001QVFNV8,Night of the Comet,[],"{""Date First Available"": ""January 27, 2009""}",5.0,4,,
B005Y2OM3K,O Healing Light of Christ,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.88 Ounces"", ""Manufacturer"": ""1"", ""Date First Available"": ""October 20, 2011"", ""Label"": ""1""}",5.0,2,,
B07YKXFVGK,LΙVΕ ΙΝ ΤΗΕ CΙΤΥ ΟF ΑΝGΕLS DΕLUΧΕ . EU Edition,[],"{""Manufacturer"": ""BMG Rights Management Ltd"", ""Original Release Date"": ""2019"", ""Date First Available"": ""January 31, 2018"", ""Label"": ""BMG Rights Management Ltd"", ""Country of Origin"": ""Cyprus"", ""Number of discs"": ""4""}",4.7,12,56.79,
B099322YPZ,Buffalo Springfield Again,[],"{""Package Dimensions"": ""5.59 x 4.92 x 0.51 inches; 3.21 Ounces"", ""Manufacturer"": ""Import"", ""Date First Available"": ""July 10, 2021"", ""Label"": ""Import"", ""Country of Origin"": ""United Kingdom"", ""Number of discs"": ""1""}",4.6,10,14.99,
B00483CQLQ,Elvis (1973): 2-Disc Collector's Edition,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""6.93 x 6.77 x 0.39 inches; 4.23 Ounces"", ""Manufacturer"": ""Follow That Dream"", ""Date First Available"": ""October 21, 2010"", ""Label"": ""Follow That Dream"", ""Number of discs"": ""2""}",4.8,64,99.99,
B000F8J4D6,A Piece of My Mind Audio Chonda Pierce,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.88 Ounces"", ""Manufacturer"": ""INO"", ""Date First Available"": ""March 30, 2006"", ""Label"": ""INO""}",4.4,15,12.0,
B01AXLZGG8,"The Boarding House, San Francisco, April 16th 1973 by Jerry Garcia/Old & In The Way",[],"{""Date First Available"": ""July 30, 2017""}",4.6,17,,
B0001XXAVM,ProdName,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4.9 x 5.5 x 0.25 inches; 2.88 Ounces"", ""Manufacturer"": ""Hallmark Cards, Inc."", ""Run time"": ""45 minutes"", ""Date First Available"": ""April 29, 2007"", ""Label"": ""Hallmark Cards, Inc."", ""Number of discs"": ""1""}",4.8,35,9.59,
B0007SN2DW,The River Is Rising,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""5.5 x 4.9 x 0.4 inches; 4 Ounces"", ""Date First Available"": ""February 12, 2005""}",4.4,23,26.0,
B01K8KOG4C,461 Ocean Boulevard [Deluxe Edition] by Eric Clapton (2004-11-25),[],"{""Date First Available"": ""July 31, 2017""}",4.4,62,,
B0002651UG,ProdName,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 1 Pounds"", ""Manufacturer"": ""Brentwood Music"", ""Date First Available"": ""May 4, 2004"", ""Label"": ""Brentwood Music"", ""Number of discs"": ""1""}",4.8,20,39.95,
B003XDAO70,The Psychology of Selling/ The Art of Closing Sales,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.88 Ounces"", ""Manufacturer"": ""Nightingale Conant"", ""Date First Available"": ""August 11, 2005"", ""Label"": ""Nightingale Conant""}",5.0,3,,
B00G1WSYKO,Museum Of Memories Vol. 2: 1973-2013,[],"{""Manufacturer"": ""Frontera Records"", ""Run time"": ""1 hour and 15 minutes"", ""Date First Available"": ""October 21, 2013"", ""Label"": ""Frontera Records"", ""Number of discs"": ""1""}",5.0,3,,
B00000JLEW,Zoltán Kodály: Háry János Suite / Dances of Galánta & Marosszék / Children's Choruses,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4.84 x 5.59 x 0.47 inches; 3.53 Ounces"", ""Manufacturer"": ""Philips"", ""Item model number"": ""1991666"", ""SPARS Code"": ""DDD"", ""Date First Available"": ""January 20, 2007"", ""Label"": ""Philips"", ""Number of discs"": ""1""}",4.8,16,20.33,
B0009ZEMKU,"Change My Heart Oh God, Piano Classcs",[],"{""Product Dimensions"": ""5.55 x 4.97 x 0.54 inches; 1 Pounds"", ""Manufacturer"": ""Vineyard Music"", ""Date First Available"": ""May 8, 2006"", ""Label"": ""Vineyard Music"", ""Number of discs"": ""1""}",4.3,23,29.87,
B000LZJWC6,Smetana: Ma Vlast; Dvorak: The Wood Dove & The Noonday Witch,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Manufacturer"": ""BBC Music"", ""Run time"": ""71 minutes"", ""Date First Available"": ""December 15, 2006"", ""Label"": ""BBC Music"", ""Number of discs"": ""1""}",4.0,1,5.99,
B000KLG6U2,Recuerdos De Mi Tierra,[],"{""Date First Available"": ""January 30, 2007""}",5.0,1,,
B00VKV2UPQ,A.D.: The Bible Continues. Music Inspired By The Motion Picture Audio CD,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 3.2 Ounces"", ""Manufacturer"": ""WORD ENTERTAINMENT, INC."", ""Date First Available"": ""April 2, 2015"", ""Label"": ""WORD ENTERTAINMENT, INC.""}",4.6,13,20.94,
B01K8NA7BK,Cross Purpose by Spooky Tooth (1999-02-23),[],"{""Date First Available"": ""August 13, 2016""}",4.0,15,39.95,
B000027RJ8,Marlboro Festival: Mendelssohn-Bartholdy: String Quintets,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""November 30, 2010"", ""Country of Origin"": ""France"", ""Number of discs"": ""1""}",5.0,3,42.8,
B0082OD2E2,"DR. KILDARE - Old Time Radio - 1 mp3 CD-ROM - 60 Shows Total Time: 27:22:29 (Old Time Radio, Drama Series)",[],"{""Date First Available"": ""May 12, 2012""}",5.0,2,,
B00PV3PXSK,Scott Pender: Foothills - EP,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""November 19, 2014""}",5.0,1,,
B003581NDW,On Tour Through Motortown,[],"{""Manufacturer"": ""Columbia Record Label"", ""Date First Available"": ""January 20, 2010"", ""Label"": ""Columbia Record Label""}",5.0,2,130.0,
B01DMK0LF8,Just Piano 2,[],"{""Package Dimensions"": ""5.5 x 5 x 0.5 inches"", ""Manufacturer"": ""CD Baby"", ""Date First Available"": ""March 30, 2016"", ""Label"": ""CD Baby""}",5.0,1,,
B0009AJNPO,Early American Melodies,[],"{""Package Dimensions"": ""5.5 x 4.8 x 0.4 inches; 2.4 Ounces"", ""Manufacturer"": ""Grenn Hill"", ""Date First Available"": ""April 10, 2005"", ""Label"": ""Grenn Hill"", ""Number of discs"": ""1""}",4.6,4,9.99,
B000LST4VC,The Rio Grande Songs II,[],"{""Package Dimensions"": ""5.5 x 4.8 x 0.1 inches; 4 Ounces"", ""Manufacturer"": ""River Grande Records"", ""Date First Available"": ""December 14, 2006"", ""Label"": ""River Grande Records"", ""Number of discs"": ""1""}",4.6,4,6.71,
B004GLI2ZY,"Frederick the Great; Quantz. Flute Sonatas. John Wummer, Flute",[],"{""Manufacturer"": ""Westminster"", ""Date First Available"": ""December 17, 2010"", ""Label"": ""Westminster""}",5.0,2,203.0,
B0097GP3PU,The Jayhawkers,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.6 x 4.9 x 0.4 inches; 1.6 Ounces"", ""Date First Available"": ""September 7, 2012"", ""Number of discs"": ""1""}",4.8,8,69.99,
B000KE3YA4,The First One,[],"{""Manufacturer"": ""Electric Wilberland Studio"", ""Date First Available"": ""November 7, 2006"", ""Label"": ""Electric Wilberland Studio"", ""Number of discs"": ""1""}",5.0,1,19.99,
B003NM1E66,System Of A Down Kill Rock 'N' Roll: Greatest Hits,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 0.01 Ounces"", ""Manufacturer"": ""System Of A Down"", ""Date First Available"": ""May 22, 2010"", ""Label"": ""System Of A Down""}",4.1,18,,
B003UJ35T6,All Through The Night,[],"{""Date First Available"": ""June 4, 2010""}",4.5,2,12.49,
B000DZAY76,I Am Moved,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""December 19, 2012""}",5.0,1,15.99,
B003HPKO8S,GENESIS - Greatest Hits - 2 (2 Cd) ( Digipack) - Collector's Edition - Rare -NEW,[],"{""Date First Available"": ""April 17, 2010"", ""Number of discs"": ""2""}",4.6,10,,
B000L4AFR8,Sing Folksongs From Just About Everywhere,[],"{""Package Dimensions"": ""12.5 x 12.5 x 0.2 inches"", ""Manufacturer"": ""Elektra"", ""Date First Available"": ""November 24, 2006"", ""Label"": ""Elektra""}",5.0,2,195.0,
B00AM16E0C,2-CD set Gentlemen Be Seated a Complete Minstrel Show - for NANCY D.,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""December 10, 2012""}",4.8,7,,
B00EO59TZY,Music Martinis & Memories,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""5.6 x 0.4 x 4.9 inches; 4 Ounces"", ""Manufacturer"": ""Hallmark"", ""Item model number"": ""PW 714042"", ""Original Release Date"": ""2013"", ""Date First Available"": ""August 30, 2013"", ""Label"": ""Hallmark"", ""Number of discs"": ""1""}",4.6,243,10.26,
B001N67TY0,Trading Licks,[],"{""Package Dimensions"": ""5.6 x 4.9 x 0.4 inches; 0.35 Ounces"", ""Date First Available"": ""December 6, 2008""}",5.0,3,49.99,
B004V11HO2,Dolly Parton: The Encore Collection,[],"{""Package Dimensions"": ""5.7 x 4.9 x 0.5 inches; 3.2 Ounces"", ""Date First Available"": ""April 3, 2011""}",5.0,2,8.45,
B000027SXV,"Eduard Erdmann: The Telefunken, Polydor & Parlophone Recordings, 1920-1933",[],"{""Item Weight"": ""3.21 Ounces"", ""Manufacturer"": ""Piano Library"", ""Date First Available"": ""October 12, 2012"", ""Label"": ""Piano Library"", ""Number of discs"": ""1""}",4.0,1,77.03,
B085VVQ7C1,EXO Suho 'Self-Portrait' 1st Solo Mini Album Archive #2 Ver CD+1p Poster+96p Booklet+1p Post+1p PhotoCard+1p Special Photo Card+Message PhotoCard SET+Tracking Kpop Sealed,[],"{""Date First Available"": ""March 13, 2020""}",5.0,11,28.99,
B01AXLV83I,Valls/Mass Scala Aretina by Thames Co/Hoban,[],"{""Date First Available"": ""May 27, 2016""}",5.0,1,12.99,
B00005HEK1,Rusty Nail,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""6.73 x 4.21 x 0.39 inches; 3.04 Ounces"", ""Manufacturer"": ""WARNER"", ""Date First Available"": ""February 12, 2013"", ""Label"": ""WARNER"", ""Number of discs"": ""1""}",4.2,22,16.78,
B000004193,Chopin: 21 Nocturnes / 26 Preludes,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Language"": ""English"", ""Product Dimensions"": ""4.88 x 5.59 x 0.47 inches; 3.88 Ounces"", ""Manufacturer"": ""Philips"", ""Item model number"": ""028944226621"", ""Original Release Date"": ""1994"", ""SPARS Code"": ""ADD"", ""Date First Available"": ""December 8, 2006"", ""Label"": ""Philips"", ""Country of Origin"": ""USA"", ""Number of discs"": ""2""}",4.9,29,15.1,
B004Z140I8,Emancipation Of Hugh Masekela,[],"{""Manufacturer"": ""UNI"", ""Date First Available"": ""August 31, 2012"", ""Label"": ""UNI""}",4.8,5,,
B00101UXVO,The Bridge,[],"{""Date First Available"": ""November 27, 2007""}",4.7,351,4.8,
B000PD6WAE,Mahler: Symphony No. 9,[],"{""Date First Available"": ""April 12, 2007""}",4.7,6,,
B000024SYI,Best of Jack Jones,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Language"": ""English"", ""Product Dimensions"": ""5.62 x 0.46 x 4.97 inches; 3.36 Ounces"", ""Manufacturer"": ""Universal Music Operation Li"", ""Item model number"": ""MSE86927"", ""Date First Available"": ""July 27, 2006"", ""Label"": ""Universal Music Operation Li"", ""Number of discs"": ""1""}",4.5,132,14.74,
B001F4SNWW,Latin Mass,[],"{""Manufacturer"": ""Mason"", ""Date First Available"": ""September 1, 2008"", ""Label"": ""Mason"", ""Number of discs"": ""1""}",4.5,4,21.99,
B000GHMAF0,Thirteen,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""June 27, 2006""}",5.0,2,911.08,
B0078NXGQW,Tea for Two on Moonlight Bay,[],"{""Date First Available"": ""February 13, 2012""}",5.0,2,49.75,
B000028AYO,Spontini: Olympie,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""5.7 x 1 x 5 inches; 7.2 Ounces"", ""Manufacturer"": ""Orfeo International Music"", ""Date First Available"": ""October 3, 2012"", ""Label"": ""Orfeo International Music"", ""Number of discs"": ""1""}",4.0,2,42.66,
B09MYRGH5D,Lint XXV,[],"{""Product Dimensions"": ""5.1 x 6.3 x 0.3 inches; 4.32 Ounces"", ""Manufacturer"": ""FRONTIERS MUSIC SRL"", ""Original Release Date"": ""2022"", ""Date First Available"": ""January 28, 2022"", ""Label"": ""FRONTIERS MUSIC SRL"", ""Country of Origin"": ""USA"", ""Number of discs"": ""2""}",3.9,8,15.43,
1844351238,Dr Who Gallifrey 2.3 - Pandora,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Language"": ""English"", ""Package Dimensions"": ""5.35 x 4.88 x 0.39 inches; 13.44 Ounces"", ""Manufacturer"": ""Big Finish Productions"", ""Date First Available"": ""November 28, 2006"", ""Label"": ""Big Finish Productions""}",4.5,4,42.11,
B01KB1N5RM,Ravel: Daphnis et Chloe [Japan LP Sleeve] [Limited Edition] [Remastered] [Japan] by Isao Tomita,[],"{""Date First Available"": ""August 18, 2017""}",5.0,1,,
B009795BAY,The Musical Manner Of Mac Reynolds With Guest Appearance By Singing Star Melva Niles (Original LP Vinyl Album Featuring Music by the Salt Lake City Sinfonietta Conducted by Eugene Jelesnik),[],"{""Manufacturer"": ""NTP Production"", ""Date First Available"": ""September 7, 2012"", ""Label"": ""NTP Production""}",5.0,1,49.99,
B006V70UPG,Goodbye Sweet Lorraine / Contact Love [45rpm Single],[],"{""Manufacturer"": ""Apple Records"", ""Date First Available"": ""January 9, 2012"", ""Label"": ""Apple Records""}",4.0,1,,
B0007IC1R0,Takin Care Of Business,[],"{""Package Dimensions"": ""5.4 x 4.9 x 0.5 inches; 2.4 Ounces"", ""Manufacturer"": ""Charly Records"", ""Date First Available"": ""January 12, 2005"", ""Label"": ""Charly Records"", ""Number of discs"": ""1""}",5.0,1,4.99,
B0016G756O,Moe Koffman Quintet Plays,[],"{""Date First Available"": ""February 28, 2010""}",5.0,1,,
B001LBALGA,Beethoven: Symphonies 1 & 8,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""August 8, 2012"", ""Number of discs"": ""1""}",4.8,3,4.1,
B000027TIL,Music for Merchants & Monarch,[],"{""Item Weight"": ""15.87 Ounces"", ""Date First Available"": ""October 5, 2014"", ""Country of Origin"": ""France"", ""Number of discs"": ""1""}",4.0,1,57.88,
B000O1SR46,Celebrate the Family with Evie & The Karlssons,[],"{""Item Weight"": ""0.01 Ounces"", ""Manufacturer"": ""White Field Music"", ""Date First Available"": ""March 6, 2007"", ""Label"": ""White Field Music"", ""Number of discs"": ""1""}",5.0,2,,
B00025ALQ6,Paus,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Manufacturer"": ""RCA Victor/BMG Sweden"", ""Run time"": ""46 minutes"", ""Date First Available"": ""September 4, 2012"", ""Label"": ""RCA Victor/BMG Sweden"", ""Number of discs"": ""1""}",4.8,2,9.95,
B00854DIE8,The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos By Brian Greene(A)/Brian Greene(N) [Audiobook],[],"{""Item Weight"": ""0.01 Ounces"", ""Manufacturer"": ""Unabridged Audiobook"", ""Date First Available"": ""March 22, 2012"", ""Label"": ""Unabridged Audiobook""}",4.6,1630,,
B01K8R1OPO,M 16 by Sodom (2001-10-22),[],"{""Date First Available"": ""August 1, 2017""}",4.7,124,,
B014I782NM,L'Art de Christian Ferras By Christian Ferras (2012-10-01),[],"{""Date First Available"": ""October 24, 2015""}",4.9,14,,
B0009TNHRA,ProdName,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.88 Ounces"", ""Date First Available"": ""May 29, 2005"", ""Number of discs"": ""1""}",4.7,17,44.23,
B00AWKO5TK,South Meets North Jugalbandi Cd,[],"{""Date First Available"": ""January 4, 2013"", ""Number of discs"": ""1""}",5.0,3,,
B000025WQO,Oeuvres Pour Orgue Des XVIe et XVIIe Siècles,[],"{""Item Weight"": ""3.21 Ounces"", ""Manufacturer"": ""BNL Productions"", ""Date First Available"": ""June 15, 2015"", ""Label"": ""BNL Productions"", ""Number of discs"": ""1""}",4.0,1,898.0,
B000I0U2JG,Neither Do I Condemn Thee,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""August 23, 2006""}",4.4,3,19.88,
B00004WPTL,Can't Keep This Feeling In - Part 2,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.59 x 4.88 x 0.39 inches; 2.08 Ounces"", ""Date First Available"": ""August 7, 2012"", ""Country of Origin"": ""United Kingdom"", ""Number of discs"": ""1""}",4.5,2,25.19,
B000MTNWKY,The Axemen,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Manufacturer"": ""Pure Metal Records"", ""Run time"": ""37 minutes"", ""Date First Available"": ""January 20, 2007"", ""Label"": ""Pure Metal Records"", ""Number of discs"": ""1""}",5.0,4,24.99,
B01KB2HD3S,Charlie the Bird Parker: Portrait by Charlie Parker,[],"{""Date First Available"": ""September 2, 2016""}",5.0,1,29.95,
B00C1QBN8O,Sticky Fingers by Rolling Stones [2009],[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""July 11, 2013""}",4.4,47,24.98,
B01BVDGQ1G,Black Sabbath THE END TOUR CD UNRELEASED FREE GUITAR PICK,[],"{""Manufacturer"": ""BS Records"", ""Date First Available"": ""February 26, 2016"", ""Label"": ""BS Records""}",4.6,80,,
B000027NXM,Laborintus Ii,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""August 11, 2013"", ""Number of discs"": ""1""}",4.5,8,3.6,
B013H1EV1C,"Live at the Olympia - June 27, 2012 (2CD/DVD) by Ahmad Jamal, Yusef Lateef (2014-09-09)",[],"{""Date First Available"": ""August 30, 2017""}",5.0,2,,
B0043974ZI,"Albeniz: Iberia (Complete),Eugene Ormandy and the Philadelphia Orchestra Arbós/Surinach Version LP Boxed Set",[],{},5.0,1,,
B000K41PW8,The Rock 'N' Roll Era: Teen Idols,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.88 Ounces"", ""Manufacturer"": ""Time Life Music / Warner Special Products"", ""Date First Available"": ""October 28, 2006"", ""Label"": ""Time Life Music / Warner Special Products"", ""Number of discs"": ""1""}",4.9,17,27.52,
B0026JIKKU,First Commercially Successful Recordings,[],"{""Manufacturer"": ""Murray Hill"", ""Date First Available"": ""April 14, 2009"", ""Label"": ""Murray Hill""}",5.0,1,33.99,
B019H4MS7M,Iron Maiden Maiden England '88 CD + DVD Set DigiPak,[],"{""Date First Available"": ""December 17, 2015""}",4.8,1517,,
B004C5GYKY,and the next day too 45 rpm single,[],"{""Date First Available"": ""December 16, 2015""}",5.0,1,,
B00B47FY0Y,Brahms/Delius: Double Concertos,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Item Weight"": ""0.01 Ounces"", ""Manufacturer"": ""EMI Studio"", ""Run time"": ""55 minutes"", ""Date First Available"": ""April 23, 2015"", ""Label"": ""EMI Studio"", ""Number of discs"": ""1""}",3.0,1,17.98,
B00790T8CK,The Toure-Raichel Collective [The Idan Raichel Project] 2012 Israel Edition CD,[],"{""Date First Available"": ""October 31, 2012""}",5.0,1,,
B00004Z1QL,Violin Concerto: Double Concerto,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Language"": ""English"", ""Product Dimensions"": ""5.6 x 0.4 x 4.9 inches; 4 Ounces"", ""Manufacturer"": ""Decca Import"", ""Date First Available"": ""January 12, 2007"", ""Label"": ""Decca Import"", ""Country of Origin"": ""France"", ""Number of discs"": ""1""}",4.0,5,69.12,
B000MPLN2W,Praise and Worship Sampler: Hosanna Classics,[],"{""Package Dimensions"": ""5.5 x 4.9 x 0.4 inches; 3.2 Ounces"", ""Date First Available"": ""January 15, 2007""}",4.5,10,25.94,
B000088E3D,Batucada Fantastica Vol III,[],"{""Package Dimensions"": ""5.51 x 4.72 x 0.31 inches; 2.08 Ounces"", ""Date First Available"": ""July 25, 2015"", ""Number of discs"": ""1""}",5.0,3,88.45,
B007BTZ738,SINGS COUNTRY,[],"{""Package Dimensions"": ""5.5 x 4.8 x 0.1 inches; 3.2 Ounces"", ""Date First Available"": ""February 21, 2012""}",3.5,3,8.0,
B000RLBZD8,Mamouna E.P. [8-Track EP] Japan,[],"{""Package Dimensions"": ""5 x 5 x 1 inches; 3.53 Ounces"", ""Manufacturer"": ""Virgin Records"", ""Date First Available"": ""June 5, 2007"", ""Label"": ""Virgin Records"", ""Number of discs"": ""1""}",5.0,1,,
B00004SFXA,Bad Karma,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Manufacturer"": ""Parlophone"", ""Item model number"": ""CDPCSD 156,"", ""Date First Available"": ""February 28, 2015"", ""Label"": ""Parlophone"", ""Number of discs"": ""1""}",5.0,4,26.97,
